file,type,lines
csharp.md,csharp,11
csharp.md,csharp,12
csharp.md,csharp,5
csharp.md,csharp,13
csharp.md,csharp,8
csharp.md,csharp,8
javascript.md,javascript,4
javascript.md,javascript,7
javascript.md,javascript,10
javascript.md,javascript,7
javascript.md,javascript,15
javascript.md,javascript,7
javascript.md,javascript,7
python.md,python,9
python.md,python,9
python.md,python,6
python.md,python,7
python.md,python,5
python.md,python,6
python.md,python,6
rest.md,http,3
rest.md,http,3
rest.md,json,8
rest.md,json,23
rest.md,json,9
rest.md,json,9
rest.md,json,9
csharp.md,csharp,4
csharp.md,csharp,11
csharp.md,csharp,9
csharp.md,csharp,5
csharp.md,csharp,10
csharp.md,csharp,11
csharp.md,csharp,11
java.md,java,11
java.md,java,5
java.md,java,5
java.md,java,4
java.md,java,5
java.md,java,7
java.md,java,4
java.md,java,4
javascript.md,javascript,4
javascript.md,javascript,7
javascript.md,javascript,6
javascript.md,javascript,7
javascript.md,javascript,9
javascript.md,javascript,7
javascript.md,javascript,7
javascript.md,javascript,7
javascript.md,javascript,7
python.md,python,9
python.md,python,9
python.md,python,3
python.md,python,7
python.md,python,6
python.md,python,7
python.md,python,4
python.md,python,6
python.md,python,6
rest.md,http,3
rest.md,http,3
rest.md,json,6
rest.md,json,23
rest.md,json,7
rest.md,json,34
rest.md,json,7
rest.md,json,7
rest.md,json,7
csharp.md,csharp,4
csharp.md,csharp,11
csharp.md,csharp,9
csharp.md,csharp,6
csharp.md,console,6
csharp.md,csharp,17
csharp.md,console,8
csharp.md,csharp,15
csharp.md,csharp,27
csharp.md,csharp,1
csharp.md,csharp,27
java.md,java,3
java.md,java,4
java.md,java,7
java.md,java,6
java.md,console,6
java.md,java,17
java.md,console,8
java.md,java,14
java.md,java,21
java.md,csharp,5
javascript.md,javascript,4
javascript.md,javascript,7
javascript.md,javascript,10
javascript.md,javascript,10
javascript.md,console,6
javascript.md,javascript,16
javascript.md,console,8
javascript.md,javascript,10
javascript.md,javascript,22
javascript.md,javascript,2
javascript.md,javascript,27
python.md,python,9
python.md,python,10
python.md,python,7
python.md,python,6
python.md,console,6
python.md,python,15
python.md,console,8
python.md,python,8
python.md,python,16
python.md,python,1
python.md,python,20
rest.md,http,3
rest.md,http,3
rest.md,json,9
rest.md,json,22
rest.md,json,15
rest.md,json,17
rest.md,json,21
rest.md,json,9
rest.md,json,9
csharp.md,csharp,4
csharp.md,csharp,11
csharp.md,csharp,7
csharp.md,csharp,15
csharp.md,csharp,6
csharp.md,console,6
csharp.md,csharp,12
csharp.md,csharp,6
csharp.md,console,6
csharp.md,csharp,12
csharp.md,csharp,6
csharp.md,console,6
java.md,java,4
java.md,java,5
java.md,java,2
java.md,java,12
java.md,java,6
java.md,java,15
javascript.md,javascript,4
javascript.md,javascript,7
javascript.md,javascript,7
javascript.md,javascript,3
javascript.md,javascript,20
javascript.md,javascript,6
javascript.md,console,6
javascript.md,javascript,17
javascript.md,javascript,27
javascript.md,javascript,10
javascript.md,console,6
javascript.md,javascript,22
python.md,python,9
python.md,python,9
python.md,python,9
python.md,python,4
python.md,python,12
python.md,python,6
python.md,console,6
python.md,python,22
python.md,python,6
python.md,console,6
python.md,python,25
rest.md,http,3
rest.md,http,3
rest.md,json,23
rest.md,json,23
rest.md,json,25
rest.md,json,23
rest.md,json,24
rest.md,json,23
csharp.md,csharp,4
csharp.md,csharp,11
csharp.md,csharp,10
csharp.md,csharp,6
csharp.md,console,6
csharp.md,csharp,16
csharp.md,csharp,14
csharp.md,csharp,1
csharp.md,csharp,18
csharp.md,csharp,17
csharp.md,csharp,12
csharp.md,csharp,25
csharp.md,csharp,8
csharp.md,csharp,14
csharp.md,csharp,5
csharp.md,csharp,1
csharp.md,csharp,26
csharp.md,csharp,1
csharp.md,csharp,27
java.md,java,4
java.md,java,5
java.md,java,5
java.md,java,7
java.md,console,6
java.md,java,18
javascript.md,javascript,4
javascript.md,javascript,7
javascript.md,javascript,11
javascript.md,javascript,10
javascript.md,console,6
javascript.md,javascript,12
javascript.md,javascript,20
javascript.md,javascript,18
javascript.md,javascript,13
javascript.md,javascript,15
javascript.md,javascript,25
javascript.md,javascript,5
javascript.md,javascript,8
javascript.md,javascript,5
javascript.md,javascript,1
javascript.md,javascript,26
javascript.md,javascript,6
javascript.md,javascript,26
python.md,python,9
python.md,python,9
python.md,python,8
python.md,python,6
python.md,console,6
python.md,python,10
python.md,python,8
python.md,python,1
python.md,python,15
python.md,python,8
python.md,python,9
python.md,python,24
python.md,python,4
python.md,python,14
python.md,python,5
python.md,python,3
python.md,python,32
python.md,python,4
python.md,python,20
rest.md,http,3
rest.md,http,3
rest.md,json,13
rest.md,json,23
rest.md,json,17
rest.md,json,17
rest.md,json,21
rest.md,json,20
rest.md,json,23
rest.md,json,14
rest.md,json,23
rest.md,http,4
rest.md,json,14
rest.md,json,24
rest.md,json,40
rest.md,json,33
rest.md,json,57
rest.md,json,13
rest.md,json,9
bicep.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,5
bicep.md,azurecli,5
bicep.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,10
cli.md,azurecli,1
cli.md,azurecli,1
cli.md,azurecli,1
cli.md,azurecli,2
cli.md,azurecli,1
cli.md,azurecli,4
cli.md,output,7
cli.md,azurecli,9
cli.md,azurecli,1
cli.md,azurecli,4
cli.md,azurecli,4
cli.md,azurecli,1
cli.md,azurecli,1
bicep.md,azurecli,10
cli.md,azurecli,1
cli.md,azurecli,1
cli.md,azurecli,2
cli.md,yml,4
cli.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,1
bicep.md,azurecli,7
cli.md,azurecli,1
cli.md,azurecli,1
cli.md,azurecli,2
cli.md,azurecli,1
cli.md,azurecli,1
cli.md,azurecli,1
cli.md,azurecli,1
cli.md,azurecli,1
intro.md,json,9
bicep.md,bicep,29
bicep.md,azurecli,11
configure-deployment-policies.md,json,31
configure-deployment-policies.md,json,20
content-filter.md,json,5
content-filter.md,json,15
content-filter.md,json,5
content-filter.md,json,20
content-filter.md,json,3
content-filter.md,json,7
content-filter.md,json,5
content-filter.md,json,14
content-filter.md,json,5
content-filter.md,json,14
content-filter.md,json,5
content-filter.md,json,20
create-env-file-tutorial.md,text,6
create-env-file.md,text,1
development-environment-config.md,python,1
development-environment-config.md,python,2
install-cli.md,powershell,1
install-cli.md,bash,1
install-cli.md,bash,1
install-cli.md,,1
install-cli.md,,1
install-promptflow.md,,2
install-python.md,bash,2
install-python.md,bash,2
install-python.md,bash,2
code-create-chat-client.md,bash,1
code-create-chat-client.md,python,8
code-create-chat-client.md,bash,1
code-create-chat-client.md,javascript,8
code-create-chat-client.md,dotnetcli,1
code-create-chat-client.md,csharp,3
code-create-chat-client.md,csharp,4
code-create-chat-client.md,xml,5
code-create-chat-client.md,java,4
code-create-chat-client.md,HTTP/1.1,3
code-create-chat-completion.md,python,11
code-create-chat-completion.md,javascript,13
code-create-chat-completion.md,csharp,11
code-create-chat-completion.md,java,13
code-create-chat-completion.md,HTTP/1.1,3
code-create-chat-completion.md,JSON,13
autoscale.md,azurecli,2
azure-policy.md,azurecli,1
azure-policy.md,json,23
azure-policy.md,json,46
configure-managed-network.md,python,17
configure-managed-network.md,yml,2
configure-managed-network.md,yml,9
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,yml,4
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,yml,10
configure-managed-network.md,python,25
configure-managed-network.md,python,22
configure-managed-network.md,yml,2
configure-managed-network.md,yaml,18
configure-managed-network.md,azurecli,1
configure-managed-network.md,yml,4
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,yaml,19
configure-managed-network.md,python,50
configure-managed-network.md,python,47
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,python,4
configure-managed-network.md,python,2
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,azurecli,1
configure-managed-network.md,python,14
configure-managed-network.md,yaml,12
configure-managed-network.md,python,2
configure-private-link.md,azurecli-interactive,9
configure-private-link.md,azurecli-interactive,37
configure-private-link.md,azurecli-interactive,9
configure-private-link.md,azurecli-interactive,37
configure-private-link.md,azurecli,3
configure-private-link.md,azurecli,1
configure-private-link.md,azurecli,1
create-azure-ai-hub-template.md,azurecli,2
create-azure-ai-hub-template.md,azurepowershell,2
create-azure-ai-hub-template.md,azurecli,1
create-azure-ai-hub-template.md,azurecli,1
create-azure-ai-hub-template.md,azurepowershell,1
create-azure-ai-hub-template.md,azurecli,1
create-azure-ai-hub-template.md,azurepowershell,1
create-azure-ai-resource.md,python,13
create-azure-ai-resource.md,azurecli,1
create-hub-terraform.md,console,1
create-hub-terraform.md,console,1
create-hub-terraform.md,azurecli,2
create-hub-terraform.md,console,1
create-hub-terraform.md,console,1
create-hub-terraform.md,azurepowershell,2
create-manage-compute-session.md,txt,2
create-manage-compute-session.md,yaml,3
create-projects.md,Python,12
create-projects.md,azurecli,1
create-projects.md,azurecli,1
create-projects.md,python,1
create-projects.md,azurecli,1
deploy-models-gretel-navigator.md,bash,1
deploy-models-gretel-navigator.md,python,11
deploy-models-gretel-navigator.md,python,1
deploy-models-gretel-navigator.md,python,3
deploy-models-gretel-navigator.md,console,3
deploy-models-gretel-navigator.md,python,8
deploy-models-gretel-navigator.md,python,6
deploy-models-gretel-navigator.md,console,9
deploy-models-gretel-navigator.md,python,7
deploy-models-gretel-navigator.md,python,7
deploy-models-gretel-navigator.md,python,1
deploy-models-gretel-navigator.md,python,12
deploy-models-gretel-navigator.md,python,23
deploy-models-gretel-navigator.md,http,4
deploy-models-gretel-navigator.md,json,5
deploy-models-gretel-navigator.md,json,11
deploy-models-gretel-navigator.md,json,4
deploy-models-gretel-navigator.md,json,12
deploy-models-gretel-navigator.md,json,17
deploy-models-gretel-navigator.md,json,21
deploy-models-gretel-navigator.md,json,15
deploy-models-gretel-navigator.md,json,9
deploy-models-gretel-navigator.md,json,9
deploy-models-managed.md,python,2
deploy-models-managed.md,python,9
deploy-models-managed.md,python,17
deploy-models-managed.md,python,26
deploy-models-managed.md,python,16
deploy-models-managed.md,python,8
deploy-models-mistral-open.md,bash,1
deploy-models-mistral-open.md,python,8
deploy-models-mistral-open.md,python,8
deploy-models-mistral-open.md,python,1
deploy-models-mistral-open.md,python,3
deploy-models-mistral-open.md,console,3
deploy-models-mistral-open.md,python,8
deploy-models-mistral-open.md,python,6
deploy-models-mistral-open.md,console,6
deploy-models-mistral-open.md,python,10
deploy-models-mistral-open.md,python,8
deploy-models-mistral-open.md,python,1
deploy-models-mistral-open.md,python,15
deploy-models-mistral-open.md,python,9
deploy-models-mistral-open.md,bash,1
deploy-models-mistral-open.md,javascript,8
deploy-models-mistral-open.md,javascript,8
deploy-models-mistral-open.md,javascript,1
deploy-models-mistral-open.md,javascript,3
deploy-models-mistral-open.md,console,3
deploy-models-mistral-open.md,javascript,10
deploy-models-mistral-open.md,javascript,10
deploy-models-mistral-open.md,console,6
deploy-models-mistral-open.md,javascript,10
deploy-models-mistral-open.md,javascript,20
deploy-models-mistral-open.md,javascript,17
deploy-models-mistral-open.md,javascript,14
deploy-models-mistral-open.md,dotnetcli,1
deploy-models-mistral-open.md,dotnetcli,1
deploy-models-mistral-open.md,csharp,3
deploy-models-mistral-open.md,csharp,3
deploy-models-mistral-open.md,csharp,4
deploy-models-mistral-open.md,csharp,4
deploy-models-mistral-open.md,csharp,1
deploy-models-mistral-open.md,csharp,3
deploy-models-mistral-open.md,console,3
deploy-models-mistral-open.md,csharp,9
deploy-models-mistral-open.md,csharp,6
deploy-models-mistral-open.md,console,6
deploy-models-mistral-open.md,csharp,15
deploy-models-mistral-open.md,csharp,14
deploy-models-mistral-open.md,csharp,1
deploy-models-mistral-open.md,csharp,17
deploy-models-mistral-open.md,csharp,11
deploy-models-mistral-open.md,http,4
deploy-models-mistral-open.md,json,5
deploy-models-mistral-open.md,json,12
deploy-models-mistral-open.md,json,23
deploy-models-mistral-open.md,json,16
deploy-models-mistral-open.md,json,17
deploy-models-mistral-open.md,json,21
deploy-models-mistral-open.md,json,19
deploy-models-mistral-open.md,json,23
deploy-models-mistral-open.md,http,5
deploy-models-mistral-open.md,json,13
deploy-models-serverless-connect.md,azurecli,1
deploy-models-serverless-connect.md,azurecli,1
deploy-models-serverless-connect.md,azurecli,2
deploy-models-serverless-connect.md,python,1
deploy-models-serverless-connect.md,python,3
deploy-models-serverless-connect.md,azurecli,2
deploy-models-serverless-connect.md,python,6
deploy-models-serverless-connect.md,azurecli,1
deploy-models-serverless-connect.md,python,4
deploy-models-serverless-connect.md,azurecli,2
deploy-models-serverless-connect.md,python,6
deploy-models-serverless-connect.md,yml,4
deploy-models-serverless-connect.md,azurecli,1
deploy-models-serverless-connect.md,python,5
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,python,1
deploy-models-serverless.md,python,10
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,yml,2
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,python,11
deploy-models-serverless.md,bicep,15
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,json,29
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,python,4
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,yml,2
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,python,10
deploy-models-serverless.md,bicep,25
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,json,39
deploy-models-serverless.md,azurecli,3
deploy-models-serverless.md,output,1
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,python,10
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,python,3
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,azurecli,2
deploy-models-serverless.md,python,1
deploy-models-serverless.md,python,1
deploy-models-serverless.md,azurecli,1
deploy-models-serverless.md,azurecli,1
disable-local-auth.md,python,1
disable-local-auth.md,python,2
disable-local-auth.md,python,21
disable-local-auth.md,yaml,9
disable-local-auth.md,azurecli-interactive,1
disable-local-auth.md,json,35
disable-local-auth.md,python,4
disable-local-auth.md,azurecli-interactive,1
disable-local-auth.md,json,35
disable-local-auth.md,python,4
disable-local-auth.md,azurecli-interactive,1
disable-local-auth.md,json,35
fine-tune-serverless.md,json,3
fine-tune-serverless.md,json,3
fine-tune-serverless.md,yaml,26
flow-deploy.md,json,4
flow-develop-evaluation.md,python,19
flow-develop.md,json,26
flow-develop.md,jinja,6
flow-process-image.md,python,25
flow-tune-prompts-using-variants.md,,9
flow-tune-prompts-using-variants.md,,25
monitor-quality-safety.md,python,1
monitor-quality-safety.md,python,114
monitor-quality-safety.md,python,67
monitor-quality-safety.md,python,107
online-evaluation.md,bash,2
online-evaluation.md,bash,1
online-evaluation.md,kusto,39
online-evaluation.md,kusto,1
online-evaluation.md,python,30
online-evaluation.md,python,27
online-evaluation.md,python,16
online-evaluation.md,python,25
online-evaluation.md,python,2
online-evaluation.md,python,6
online-evaluation.md,python,2
prompt-flow-troubleshoot.md,yaml,2
prompt-flow-troubleshoot.md,text,11
prompt-flow-troubleshoot.md,text,1
prompt-flow-troubleshoot.md,yaml,16
secure-data-playground.md,azurepowershell,1
troubleshoot-secure-connection-project.md,,5
azure-open-ai-gpt-4v-tool.md,jinja,7
azure-open-ai-gpt-4v-tool.md,json,9
content-safety-tool.md,json,9
embedding-tool.md,,5
index-lookup-tool.md,json,27
index-lookup-tool.md,json,55
prompt-tool.md,jinja,11
prompt-tool.md,,1
prompt-tool.md,,1
python-tool.md,python,5
python-tool.md,python,5
python-tool.md,python,5
python-tool.md,python,8
rerank-tool.md,json,25
deploy-cxrreportgen.md,python,6
deploy-cxrreportgen.md,python,29
deploy-cxrreportgen.md,JSON,11
deploy-cxrreportgen.md,JSON,17
deploy-cxrreportgen.md,JSON,8
deploy-medimageinsight.md,python,6
deploy-medimageinsight.md,python,38
deploy-medimageinsight.md,JSON,13
deploy-medimageinsight.md,JSON,15
deploy-medimageinsight.md,JSON,5
deploy-medimageparse.md,python,6
deploy-medimageparse.md,python,35
deploy-medimageparse.md,JSON,13
deploy-medimageparse.md,JSON,9
agent-evaluate-sdk.md,python,1
agent-evaluate-sdk.md,python,29
agent-evaluate-sdk.md,python,33
agent-evaluate-sdk.md,python,90
agent-evaluate-sdk.md,python,81
agent-evaluate-sdk.md,python,12
agent-evaluate-sdk.md,python,12
agent-evaluate-sdk.md,python,48
cloud-evaluation.md,bash,2
cloud-evaluation.md,bash,1
cloud-evaluation.md,python,16
cloud-evaluation.md,python,1
cloud-evaluation.md,python,2
cloud-evaluation.md,python,36
cloud-evaluation.md,python,39
cloud-evaluation.md,python,71
connections-add-sdk.md,python,23
connections-add-sdk.md,python,21
connections-add-sdk.md,python,18
connections-add-sdk.md,python,15
connections-add-sdk.md,python,13
connections-add-sdk.md,python,17
connections-add-sdk.md,python,21
connections-add-sdk.md,python,25
connections-add-sdk.md,python,10
connections-add-sdk.md,python,10
connections-add-sdk.md,python,15
connections-add-sdk.md,python,4
connections-add-sdk.md,python,3
create-hub-project-sdk.md,azurecli,1
create-hub-project-sdk.md,Python,13
create-hub-project-sdk.md,azurecli,1
create-hub-project-sdk.md,python,16
create-hub-project-sdk.md,azurecli,1
create-hub-project-sdk.md,yml,5
create-hub-project-sdk.md,yml,4
create-hub-project-sdk.md,Python,18
create-hub-project-sdk.md,azurecli,1
evaluate-sdk.md,python,1
evaluate-sdk.md,json,23
evaluate-sdk.md,python,58
evaluate-sdk.md,python,42
evaluate-sdk.md,python,13
evaluate-sdk.md,python,8
evaluate-sdk.md,python,6
evaluate-sdk.md,python,27
evaluate-sdk.md,python,8
evaluate-sdk.md,python,7
evaluate-sdk.md,python,6
evaluate-sdk.md,python,6
evaluate-sdk.md,python,1
evaluate-sdk.md,markdown,46
evaluate-sdk.md,python,19
evaluate-sdk.md,python,7
evaluate-sdk.md,python,4
evaluate-sdk.md,python,23
evaluate-sdk.md,python,34
evaluate-sdk.md,json,6
evaluate-sdk.md,python,9
evaluate-sdk.md,python,19
langchain.md,bash,1
langchain.md,bash,1
langchain.md,bash,2
langchain.md,python,8
langchain.md,python,9
langchain.md,python,10
langchain.md,python,7
langchain.md,python,8
langchain.md,python,6
langchain.md,python,2
langchain.md,python,1
langchain.md,python,1
langchain.md,output,1
langchain.md,python,13
langchain.md,python,18
langchain.md,python,1
langchain.md,python,6
langchain.md,python,1
langchain.md,output,4
langchain.md,bash,2
langchain.md,python,7
langchain.md,python,3
langchain.md,python,7
langchain.md,python,3
langchain.md,python,7
langchain.md,python,8
langchain.md,python,19
langchain.md,python,9
langchain.md,python,3
langchain.md,python,9
langchain.md,python,6
langchain.md,python,1
langchain.md,python,1
langchain.md,python,1
llama-index.md,bash,1
llama-index.md,bash,2
llama-index.md,bash,2
llama-index.md,python,7
llama-index.md,python,8
llama-index.md,python,8
llama-index.md,python,9
llama-index.md,python,7
llama-index.md,python,7
llama-index.md,python,6
llama-index.md,python,6
llama-index.md,python,11
llama-index.md,python,3
llama-index.md,bash,2
llama-index.md,python,6
llama-index.md,python,10
llama-index.md,python,4
llama-index.md,python,3
run-scans-ai-red-teaming-agent.md,python,1
run-scans-ai-red-teaming-agent.md,python,23
run-scans-ai-red-teaming-agent.md,python,1
run-scans-ai-red-teaming-agent.md,python,8
run-scans-ai-red-teaming-agent.md,python,6
run-scans-ai-red-teaming-agent.md,python,20
run-scans-ai-red-teaming-agent.md,python,11
run-scans-ai-red-teaming-agent.md,python,12
run-scans-ai-red-teaming-agent.md,python,23
run-scans-ai-red-teaming-agent.md,python,4
run-scans-ai-red-teaming-agent.md,json,134
run-scans-ai-red-teaming-agent.md,json,25
sdk-overview.md,bash,1
sdk-overview.md,txt,7
sdk-overview.md,bash,1
sdk-overview.md,dotnet,5
sdk-overview.md,csharp,7
sdk-overview.md,bash,1
sdk-overview.md,Python,8
sdk-overview.md,Python,8
sdk-overview.md,dotnet,2
sdk-overview.md,csharp,2
sdk-overview.md,bash,1
sdk-overview.md,Python,10
sdk-overview.md,dotnet,1
sdk-overview.md,csharp,2
sdk-overview.md,bash,1
sdk-overview.md,Python,13
sdk-overview.md,dotnet,1
sdk-overview.md,csharp,1
sdk-overview.md,bash,1
sdk-overview.md,Python,15
sdk-overview.md,text,4
sdk-overview.md,Python,10
sdk-overview.md,bash,1
sdk-overview.md,Python,22
sdk-overview.md,dotnet,1
sdk-overview.md,csharp,2
sdk-overview.md,,1
sdk-overview.md,Python,11
sdk-overview.md,,1
sdk-overview.md,Python,9
semantic-kernel.md,bash,1
semantic-kernel.md,bash,1
semantic-kernel.md,bash,2
semantic-kernel.md,python,3
semantic-kernel.md,bash,1
semantic-kernel.md,python,3
semantic-kernel.md,python,13
semantic-kernel.md,python,8
semantic-kernel.md,python,10
semantic-kernel.md,python,14
semantic-kernel.md,python,8
semantic-kernel.md,python,14
semantic-kernel.md,python,3
semantic-kernel.md,python,6
simulator-interaction-data.md,python,1
simulator-interaction-data.md,python,1
simulator-interaction-data.md,python,10
simulator-interaction-data.md,yaml,33
simulator-interaction-data.md,python,29
simulator-interaction-data.md,python,12
simulator-interaction-data.md,python,22
simulator-interaction-data.md,python,12
simulator-interaction-data.md,python,23
simulator-interaction-data.md,python,36
simulator-interaction-data.md,python,1
simulator-interaction-data.md,python,7
simulator-interaction-data.md,python,28
simulator-interaction-data.md,python,16
simulator-interaction-data.md,python,8
simulator-interaction-data.md,python,7
simulator-interaction-data.md,json,16
simulator-interaction-data.md,json,24
simulator-interaction-data.md,python,7
simulator-interaction-data.md,python,5
simulator-interaction-data.md,json,1
trace-local-sdk.md,bash,3
trace-local-sdk.md,bash,1
trace-local-sdk.md,bash,3
trace-local-sdk.md,bash,1
trace-local-sdk.md,dotnetcli,1
trace-local-sdk.md,javascript,7
trace-local-sdk.md,python,6
trace-local-sdk.md,python,1
trace-local-sdk.md,Javascript,13
trace-local-sdk.md,javascript,11
trace-local-sdk.md,csharp,5
trace-local-sdk.md,csharp,1
trace-local-sdk.md,csharp,1
trace-local-sdk.md,sql,1
trace-local-sdk.md,bash,1
trace-production-sdk.md,yaml,1
trace-production-sdk.md,yaml,2
trace-production-sdk.md,python,63
visualize-traces.md,python,1
visualize-traces.md,python,12
visualize-traces.md,python,10
vs-code-agents.md,yml,14
vs-code-agents.md,yml,6
evaluation-metrics-built-in.md,json,25
evaluation-metrics-built-in.md,json,9
evaluation-metrics-built-in.md,,13
evaluation-metrics-built-in.md,jsonl,1
evaluation-metrics-built-in.md,jsonl,1
rbac-azure-ai-foundry.md,json,48
rbac-azure-ai-foundry.md,bash,1
rbac-azure-ai-foundry.md,azurecli,1
rbac-azure-ai-foundry.md,python,3
rbac-azure-ai-foundry.md,json,33
rbac-azure-ai-foundry.md,azurecli-interactive,1
rbac-azure-ai-foundry.md,json,45
rbac-azure-ai-foundry.md,json,37
rbac-azure-ai-foundry.md,json,48
vulnerability-management.md,bash,1
vulnerability-management.md,bash,1
vulnerability-management.md,bash,1
